type,side,scope,id,date,date_iso,match_mid,match_name,aid,aid_name,bid,bid_name,liveA,liveB,redA,redB,bc,ng,rq,rql,worl,oworl,handFull_home,handFull_away,handFull_hand,handHalf_home,handHalf_away,handHalf_hand,ouFull_o,ouFull_u,ouFull_score,ouHalf_o,ouHalf_u,ouHalf_score,mid,match_color
h2h,,,1539627,11/03/16,2016-03-11,58,UEFA EL,279,Liverpool F.C.,239,Manchester United F.C.,2,0,0,0,1-0,0,-0.5,1,0,0,1.8,2.15,-0.25,,,,2.0,1.85,2.25,,,,58,7E001C
h2h,,,1381846,17/01/16,2016-01-17,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,0,1,0,0,0-0,0,-0.25,1,2,3,1.8,2.15,0.0,,,,2.15,1.78,2.25,,,,92,F90000
h2h,,,1381670,13/09/15,2015-09-13,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,3,1,0,0,0-0,0,-0.5,1,0,0,1.925,1.975,-0.5,,,,1.9,2.0,2.25,,,,92,F90000
h2h,,,1114945,22/03/15,2015-03-22,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,1,2,1,0,0-1,0,-0.25,1,2,3,,,,,,,,,,,,,92,F90000
h2h,,,1114809,14/12/14,2014-12-14,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,3,0,0,0,2-0,0,-0.75,1,0,0,,,,,,,,,,,,,92,F90000
h2h,,,1156082,05/08/14,2014-08-05,1254,GICC,239,Manchester United F.C.,279,Liverpool F.C.,3,1,0,0,0-1,1,-0.25,1,0,0,,,,,,,,,,,,,1254,1E3C72
h2h,,,960460,16/03/14,2014-03-16,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,0,3,1,0,0-1,0,-0.25,1,2,3,,,,,,,,,,,,,92,F90000
h2h,,,1015675,26/09/13,2013-09-26,53,ENG LC,239,Manchester United F.C.,279,Liverpool F.C.,1,0,0,0,0-0,0,-0.5,1,0,0,,,,,,,,,,,,,53,fb4253
h2h,,,960189,01/09/13,2013-09-01,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,1,0,0,0,1-0,0,-0.25,1,0,0,,,,,,,,,,,,,92,F90000
h2h,,,783228,13/01/13,2013-01-13,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,2,1,0,0,1-0,0,-0.5,1,0,0,,,,,,,,,,,,,92,F90000
h2h,,,782113,23/09/12,2012-09-23,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,1,2,1,0,0-0,0,-0.0,1,2,3,,,,,,,,,,,,,92,F90000
h2h,,,473886,11/02/12,2012-02-11,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,2,1,0,0,0-0,0,-0.5,1,0,0,,,,,,,,,,,,,92,F90000
h2h,,,720760,28/01/12,2012-01-28,55,ENG FAC,279,Liverpool F.C.,239,Manchester United F.C.,2,1,0,0,1-1,0,-0.25,1,0,0,,,,,,,,,,,,,55,141D8B
h2h,,,473682,15/10/11,2011-10-15,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,1,1,0,0,0-0,0,-0.0,1,1,2,,,,,,,,,,,,,92,F90000
h2h,,,363803,06/03/11,2011-03-06,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,3,1,0,0,2-0,0,0.25,1,0,3,,,,,,,,,,,,,92,F90000
h2h,,,428410,09/01/11,2011-01-09,55,ENG FAC,239,Manchester United F.C.,279,Liverpool F.C.,1,0,0,1,1-0,0,-0.75,1,0,1,,,,,,,,,,,,,55,141D8B
h2h,,,362808,19/09/10,2010-09-19,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,3,2,0,0,1-0,0,-0.75,1,0,1,,,,,,,,,,,,,92,F90000
h2h,,,262525,21/03/10,2010-03-21,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,2,1,0,0,1-1,0,-0.75,1,0,1,,,,,,,,,,,,,92,F90000
h2h,,,262314,25/10/09,2009-10-25,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,2,0,1,1,0-0,0,0.25,1,0,3,,,,,,,,,,,,,92,F90000
h2h,,,183873,14/03/09,2009-03-14,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,1,4,1,0,1-2,0,-0.5,1,2,3,,,,,,,,,,,,,92,F90000
h2h,,,183423,13/09/08,2008-09-13,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,2,1,0,1,1-1,0,-0.0,1,0,0,,,,,,,,,,,,,92,F90000
h2h,,,119375,23/03/08,2008-03-23,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,3,0,0,1,1-0,0,-0.5,1,0,0,,,,,,,,,,,,,92,F90000
h2h,,,119045,16/12/07,2007-12-16,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,0,1,0,0,0-1,0,-0.25,1,2,3,,,,,,,,,,,,,92,F90000
h2h,,,72537,03/03/07,2007-03-03,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,0,1,0,1,0-0,0,-0.0,1,2,3,,,,,,,,,,,,,92,F90000
h2h,,,72197,22/10/06,2006-10-22,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,2,0,0,0,1-0,0,-0.5,1,0,0,,,,,,,,,,,,,92,F90000
h2h,,,60374,18/02/06,2006-02-18,55,ENG FAC,279,Liverpool F.C.,239,Manchester United F.C.,1,0,0,0,1-0,0,-0.0,1,0,0,,,,,,,,,,,,,55,141D8B
h2h,,,31254,22/01/06,2006-01-22,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,1,0,0,0,0-0,0,-0.25,1,0,0,,,,,,,,,,,,,92,F90000
h2h,,,31086,18/09/05,2005-09-18,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,0,0,0,0,0-0,0,-0.0,1,1,2,,,,,,,,,,,,,92,F90000
h2h,,,8622,15/01/05,2005-01-15,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,0,1,0,1,0-1,0,0.0,1,2,0,,,,,,,,,,,,,92,F90000
h2h,,,8442,21/09/04,2004-09-21,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,2,1,0,0,1-0,0,-0.25,1,0,0,,,,,,,,,,,,,92,F90000
h2h,,,6068,24/04/04,2004-04-24,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,0,1,0,0,0-0,0,-0.5,1,2,3,,,,,,,,,,,,,92,F90000
h2h,,,10010390,09/11/03,2003-11-09,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,1,2,0,0,0-0,0,0.25,0,2,0,,,,,,,,,,,,,92,F90000
h2h,,,10006230,05/04/03,2003-04-05,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,4,0,0,1,1-0,0,,0,0,-1,,,,,,,,,,,,,92,F90000
h2h,,,10005585,02/03/03,2003-03-02,53,ENG LC,239,Manchester United F.C.,279,Liverpool F.C.,0,2,0,0,0-1,0,,0,2,-1,,,,,,,,,,,,,53,fb4253
h2h,,,10004157,01/12/02,2002-12-01,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,1,2,0,0,0-0,0,,0,2,-1,,,,,,,,,,,,,92,F90000
h2h,,,10000805,23/01/02,2002-01-23,92,ENG PR,239,Manchester United F.C.,279,Liverpool F.C.,0,1,0,0,,0,,0,2,-1,,,,,,,,,,,,,92,F90000
h2h,,,10013697,04/11/01,2001-11-04,92,ENG PR,279,Liverpool F.C.,239,Manchester United F.C.,3,1,0,0,,0,,0,0,-1,,,,,,,,,,,,,92,F90000
